NodeType	NodeID	X_Location	Y_Location	Z_Location	isIndoor	isWithLowPenetraionLoss	isPedestrian	Orientation	nodeVelocity
BS	0	         0	  -288.675	        25	         0	         0         0         [90 0 0]         [0 0 0]
UE1	1	   225.589	  -122.873	       1.5	         0	         0         0         [0 0 0]         [0.833 52.41 90]
UE1	2	   -167.32	  -53.7875	       1.5	         0	         0         0         [0 0 0]         [0.833 5.14361 90]
UE1	3	  -122.268	  -118.731	       1.5	         0	         0         0         [0 0 0]         [0.833 125.724 90]
UE1	4	   150.409	   83.2457	       1.5	         0	         0         0         [0 0 0]         [0.833 -18.2249 90]
UE1	5	   69.7414	  -28.8424	       1.5	         0	         0         0         [0 0 0]         [0.833 105.571 90]
UE1	6	   208.175	  -67.6736	       1.5	         0	         0         0         [0 0 0]         [0.833 -162.338 90]
UE1	7	   84.7201	   2.93018	       1.5	         0	         0         0         [0 0 0]         [0.833 -66.0826 90]
UE1	8	  -78.0383	  -96.9479	       1.5	         0	         0         0         [0 0 0]         [0.833 16.5192 90]
UE1	9	   30.7607	   -262.46	       1.5	         0	         0         0         [0 0 0]         [0.833 -166.368 90]
UE1	10	   78.2882	  -91.9423	       1.5	         0	         0         0         [0 0 0]         [0.833 -126.311 90]
